Kanji,Hiragana,English,JLPT
土手,どて,"embankment, bank",N1
何方,どなた,who?,N1
怒鳴る,どなる,"to shout, to yell",N1
何の,どの,"which, what",N1
土俵,どひょう,arena,N1
土木,どぼく,public works,N1
何れ,どれ,"well, now, let me see, which (of three or more)",N1
何々,どれどれ,which (emphatic),N1
度忘れ,どわすれ,"lapse of memory, forget for a moment",N1
鈍感,どんかん,"thickheadedness, stolidity",N1
内閣,ないかく,"cabinet, (government) ministry",N1
乃至,ないし,"from...to, between...and, or",N1
内臓,ないぞう,"internal organs, intestines, viscera",N1
内部,ないぶ,"interior, inside, internal",N1
内乱,ないらん,"civil war, insurrection, rebellion, domestic conflict",N1
内陸,ないりく,inland,N1
苗,なえ,rice seedling,N1
尚,なお,"furthermore, still, yet, more, still more, greater, further, less",N1
尚更,なおさら,"all the more, still less",N1
中程,なかほど,"middle, midway",N1
流し,ながし,sink,N1
長々,ながなが,"long, drawn-out, very long",N1
殴る,なぐる,"to strike, to hit",N1
嘆く,なげく,"to sigh, to lament, to grieve",N1
投げ出す,なげだす,"to throw down, to abandon, to sacrifice, to throw out",N1
和やか,なごやか,"mild, calm, gentle, quiet, harmonious",N1
名残,なごり,"remains, traces, memory",N1
情け,なさけ,"sympathy, compassion",N1
情け深い,なさけぶかい,"tender-hearted, compassionate",N1
為さる,なさる,to do,N1
詰る,なじる,"to rebuke, to scold, to tell off",N1
何故,なぜ,"why, how",N1
何故なら,なぜなら,because,N1
名高い,なだかい,"famous, celebrated, well-known",N1
雪崩,なだれ,avalanche,N1
懐く,なつく,to become emotionally attached,N1
名付ける,なづける,to name (someone),N1
何気ない,なにげない,"casual, unconcerned",N1
何しろ,なにしろ,"at any rate, anyhow, anyway, in any case",N1
何卒,なにとぞ,please,N1
何も,なにも,nothing,N1
何より,なにより,"most, best",N1
七日,なぬか,"seven days, the seventh day (of the month)",N1
名札,なふだ,"name plate, name tag",N1
生臭い,なまぐさい,"smelling of fish or blood, fish or meat",N1
生温い,なまぬるい,"lukewarm, halfhearted",N1
生身,なまみ,"living flesh, flesh and blood, the quick",N1
鉛,なまり,lead (the metal),N1
鈍る,なまる,"to become less capable, to grow dull, to become blunt, to weaken",N1
並み,なみ,"average, medium, common, ordinary",N1
滑らか,なめらか,"smoothness, glassiness",N1
嘗める,なめる,"to lick, to taste, to experience, to make fun of, to make light of, to put down, to treat with contempt",N1
悩ましい,なやましい,"seductive, melancholy, languid",N1
悩ます,なやます,"to afflict, to torment, to harass, to molest",N1
悩み,なやみ,"trouble(s), worry, distress, anguish, agony, problem",N1
平均,ならし,"equilibrium, balance, average, mean",N1
慣らす,ならす,to accustom,N1
馴らす,ならす,"to domesticate, to tame",N1
並びに,ならびに,and,N1
成り立つ,なりたつ,"to conclude, to consist of, to be practical (logical feasible viable), to hold true",N1
成る丈,なるたけ,"as much as possible, if possible",N1
成るべく,なるべく,as much as possible,N1
慣れ,なれ,"practice, experience",N1
馴れ馴れしい,なれなれしい,over-familiar,N1
難,なん,"difficulty, hardships, defect",N1
南,なん,south,N1
,なんか,"things like ..., or something like that .. (often derogatory)",N1
何だか,なんだか,"a little, somewhat, somehow",N1
,なんだかんだ,something or other,N1
何て,なんて,"how...!, what...!",N1
何と,なんと,"what, how, whatever",N1
何となく,なんとなく,"somehow or other, for some reason or another",N1
何とも,なんとも,"nothing (with neg. verb), quite, not a bit",N1
何なり,なんなり,"any, anything, whatever",N1
荷,に,"load, baggage, cargo",N1
似通う,にかよう,to resemble closely,N1
面皰,にきび,"pimple, acne",N1
賑わう,にぎわう,"to prosper, to flourish, to do thriving business, to be crowded with people",N1
悪い,にくい,"hateful, abominable, poor-looking",N1
憎しみ,にくしみ,hatred,N1
肉親,にくしん,"blood relationship, blood relative",N1
肉体,にくたい,"the body, the flesh",N1
逃げ出す,にげだす,"to run away, to escape from",N1
西日,にしび,westering sun,N1
滲む,にじむ,"to run, to blur, to spread, to blot, to ooze",N1
日夜,にちや,"day and night, always",N1
日当,にっとう,daily allowance,N1
荷造り,にづくり,"packing, baling, crating",N1
担う,になう,"to carry on shoulder, to bear (burden), to shoulder (gun)",N1
二人,ににん,"two persons, two people, pair, couple",N1
にも拘らず,にもかかわらず,"in spite of, nevertheless",N1
入手,にゅうしゅ,"obtaining, coming to hand",N1
入賞,にゅうしょう,winning a prize or place (in a contest),N1
入浴,にゅうよく,"bathe, bathing",N1
尿,にょう,urine,N1
俄か,にわか,"sudden, abrupt, unexpected, improvised, offhand",N1
認識,にんしき,"recognition, cognizance",N1
妊娠,にんしん,"conception, pregnancy",N1
人情,にんじょう,"humanity, empathy, kindness, sympathy, human nature, common sense, customs and manners",N1
任務,にんむ,"duty, function, office, mission, task",N1
任命,にんめい,"appointment, nomination, ordination, commission, designation",N1
抜かす,ぬかす,"to omit, to leave out",N1
抜け出す,ぬけだす,"to slip out, to sneak away, to excel",N1
盗み,ぬすみ,stealing,N1
沼,ぬま,"swamp, bog, pond, lake",N1
音,ね,"sound, note",N1
値打ち,ねうち,"value, worth, price, dignity",N1
寝かせる,ねかせる,"to put to bed, to lay down, to ferment",N1
捻子,ねじ,"screw, helix, spiral",N1
ねじ回し,ねじまわし,screwdriver,N1
捻じれる,ねじれる,"to twist, to wrench, to screw",N1
鼠,ねず,"1. mouse, rat, 2. dark gray, slate color",N1
妬む,ねたむ,"to be jealous, to be envious",N1
強請る,ねだる,"to tease, to coax, to solicit, to demand",N1
熱湯,ねっとう,boiling water,N1
熱意,ねつい,"zeal, enthusiasm",N1
熱量,ねつりょう,temperature,N1
粘り,ねばり,"stickyness, viscosity",N1
粘る,ねばる,"to be sticky, to be adhesive, to persevere, to persist, to stick to",N1
値引き,ねびき,"price reduction, discount",N1
根回し,ねまわし,making necessary arrangements,N1
眠たい,ねむたい,sleepy,N1
練る,ねる,"to knead, to work over, to polish up",N1
念,ねん,"sense, idea, thought, feeling, desire, concern, attention, care",N1
年鑑,ねんかん,yearbook,N1
年号,ねんごう,"name of an era, year number",N1
燃焼,ねんしょう,"burning, combustion",N1
年生,ねんせい,"pupil in .... year, student in .... year",N1
年長,ねんちょう,seniority,N1
燃料,ねんりょう,fuel,N1
年輪,ねんりん,annual tree ring,N1
脳,のう,"brain, memory",N1
農耕,のうこう,"farming, agriculture",N1
農場,のうじょう,farm (agriculture),N1
農地,のうち,agricultural land,N1
納入,のうにゅう,"payment, supply",N1
逃す,のがす,"to let loose, to set free, to let escape",N1
逃れる,のがれる,to escape,N1
軒並み,のきなみ,row of houses,N1
鋸,のこぎり,saw,N1
望ましい,のぞましい,"desirable, hoped for",N1
臨む,のぞむ,"to look out on, to face, to deal with, to attend (function)",N1
乗っ取る,のっとる,"to capture, to occupy, to usurp",N1
長閑,のどか,"tranquil, calm, quiet",N1
罵る,ののしる,"to speak ill of, to abuse",N1
延べ,のべ,"futures, credit (buying), stretching, total",N1
飲み込む,のみこむ,"to gulp down, to swallow deeply, to understand, to take in, to catch on to, to learn, to digest",N1
乗り換え,のりかえ,transfer (trains buses etc.),N1
乗り込む,のりこむ,"to board, to embark on, to get into (a car), to ship (passengers), to man (a ship), to help (someone) int",N1
刃,は,edge (of a sword),N1
派,は,"clique, faction, school",N1
把握,はあく,"grasp, catch, understanding",N1
肺,はい,lung,N1
廃棄,はいき,"annullment, disposal, abandon, scrap, discarding, repeal",N1
配給,はいきゅう,distribution (eg. films rice),N1
配偶者,はいぐうしゃ,"spouse, wife, husband",N1
拝啓,はいけい,Dear (so and so),N1
背景,はいけい,"background, scenery, setting, circumstance",N1
背後,はいご,"back, rear",N1
灰皿,はいさら,ashtray,N1
廃止,はいし,"abolition, repeal",N1
拝借,はいしゃく,borrowing,N1
排除,はいじょ,"exclusion, removal, rejection",N1
排水,はいすい,drainage,N1
敗戦,はいせん,"defeat, losing a war",N1
配置,はいち,"arrangement (of resources), disposition",N1
配布,はいふ,distribution,N1
配分,はいぶん,"distribution, allotment",N1
配慮,はいりょ,"consideration, concern, forethought",N1
配列,はいれつ,"arrangement, array (programming)",N1
映える,はえる,"to shine, to look attractive, to look pretty",N1
破壊,はかい,destruction,N1
墓地,はかち,"cemetery, graveyard",N1
捗る,はかどる,"to make progress, to move right ahead (with the work), to advance",N1
果ない,はかない,"fleeting, transient, short-lived, momentary, vain, fickle, miserable, empty, ephemeral",N1
諮る,はかる,"to consult with, to confer",N1
図る,はかる,"to plot, to attempt, to plan, to take in, to deceive, to devise, to design, to refer A to B",N1
剥がす,はがす,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of, to detach, t",N1
破棄,はき,"revocation, annulment, breaking (e.g. treaty)",N1
泊,はく,counter for nights of a stay,N1
迫害,はくがい,persecution,N1
薄弱,はくじゃく,"feebleness, weakness, weak",N1
白状,はくじょう,confession,N1
剥ぐ,はぐ,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of",N1
派遣,はけん,"dispatch, send",N1
励ます,はげます,"to encourage, to cheer, to raise (the voice)",N1
励む,はげむ,"to be zealous, to brace oneself, to endeavour, to strive, to make an effort",N1
剥げる,はげる,"to come off, to be worn off, to fade, to discolor",N1
鋏,はさみ,scissors,N1
柱,はしら,"pillar, post",N1
橋渡し,はしわたし,"bridge building, mediation",N1
恥,はじ,"shame, embarrassment",N1
弾く,はじく,"to flip, to snap",N1
始め,はじめ,"beginning, start, origin",N1
始めまして,はじめまして,"How do you do?, I am glad to meet you",N1
恥じらう,はじらう,"to feel shy, to be bashful, to blush",N1
恥じる,はじる,to feel ashamed,N1
蓮,はす,lotus,N1
筈,はず,it should be so,N1
弾む,はずむ,"to spring, to bound, to bounce, to be stimulated, to be encouraged, to get lively, to treat oneself to, to",N1
破損,はそん,damage,N1
機,はた,loom,N1
果たして,はたして,"as was expected, really",N1
果たす,はたす,"to accomplish, to fulfill, to carry out, to achieve",N1
裸足,はだし,barefoot,N1
蜂蜜,はちみつ,honey,N1
発掘,はっくつ,"excavation, exhumation",N1
発生,はっせい,"outbreak, spring forth, occurrence, incidence, origin",N1
発足,はっそく,"starting, inauguration",N1
初,はつ,"first, new",N1
発,はつ,"departure, beginning, counter for gunshots",N1
発育,はついく,"(physical) growth, development",N1
発芽,はつが,burgeoning,N1
発言,はつげん,"utterance, speech, proposal",N1
発病,はつびょう,attack (disease),N1
初耳,はつみみ,something heard for the first time,N1
果て,はて,"the end, the extremity, the limit(s), the result",N1
果てる,はてる,"to end, to be finished, to be exhausted, to die, to perish",N1
話し合い,はなしあい,"discussion, conference",N1
甚だ,はなはだ,"very, greatly, exceedingly",N1
華々しい,はなばなしい,"brilliant, magnificent, spectacular",N1
花びら,はなびら,(flower) petal,N1
華やか,はなやか,"gay, showy, brilliant, gorgeous, florid",N1
阻む,はばむ,"to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart",N1
浜,はま,"beach, seashore",N1
浜辺,はまべ,"beach, foreshore",N1
填まる,はまる,"to get into, to go into, to fit, to be fit for, to suit, to fall into, to plunge into, to be deceived, to be",N1
歯磨,はみがき,"dentifrice, toothpaste",N1
填める,はめる,"to get in, to insert, to put on, to make love",N1
生やす,はやす,"to grow, to cultivate, to wear beard",N1
早める,はやめる,"to hasten, to quicken, to expedite, to precipitate, to accelerate",N1
流行,はやり,"fashionable, fad, in vogue, prevailing",N1
腹立ち,はらだち,anger,N1
原っぱ,はらっぱ,"open field, empty lot, plain",N1
張り紙,はりがみ,"paper patch, paper backing, poster",N1
遥か,はるか,"far, far-away, distant, remote, far off",N1
破裂,はれつ,"explosion, rupture, break off",N1
腫れる,はれる,"to swell (from inflammation), to become swollen",N1
班,はん,"group, party, section (mil)",N1
判,はん,"seal, stamp, monogram signature, judgment",N1
版,はん,edition,N1
繁栄,はんえい,"prospering, prosperity, thriving, flourishing",N1
反感,はんかん,"antipathy, revolt, animosity",N1
版画,はんが,art print,N1
反響,はんきょう,"echo, reverberation, repercussion, reaction, influence",N1
判決,はんけつ,"judicial decision, judgement, sentence, decree",N1
反撃,はんげき,"counterattack, counteroffensive, counterblow",N1
反射,はんしゃ,"reflection, reverberation",N1
繁殖,はんしょく,"breed, multiply, increase, propagation",N1
繁盛,はんじょう,"prosperity, flourishing, thriving",N1
反する,はんする,"to be inconsistent with, to oppose, to contradict, to transgress, to rebel",N1
判定,はんてい,"judgement, decision, award, verdict",N1
反応,はんのう,"reaction, response",N1
半端,はんぱ,"remnant, fragment, incomplete set, fraction, odd sum, incompleteness",N1
反発,はんぱつ,"repelling, rebound, recover, oppose",N1
反乱,はんらん,"insurrection, mutiny, rebellion, revolt, uprising",N1
氾濫,はんらん,"overflowing, flood",N1
黴菌,ばいきん,"bacteria, germ(s)",N1
賠償,ばいしょう,"reparations, indemnity, compensation",N1
倍率,ばいりつ,"diameter, magnification",N1
馬鹿馬鹿しい,ばかばかしい,stupid,N1
馬鹿らしい,ばからしい,absurd,N1
漠然,ばくぜん,"obscure, vague, equivocal",N1
爆弾,ばくだん,bomb,N1
爆破,ばくは,"blast, explosion, blow up",N1
暴露,ばくろ,"disclosure, exposure, revelation",N1
化ける,ばける,"to appear in disguise, to take the form of, to change for the worse",N1
罰,ばち,"(divine) punishment, curse, retribution",N1
伐,ばつ,"strike, attack, punish",N1
,ばてる,"to be exhausted, to be worn out",N1
発条,ばね,spring (e.g. coil leaf),N1
散蒔く,ばらまく,"to disseminate, to scatter, to give money freely",N1
判,ばん,size (of paper or books),N1
万,ばん,"many, all",N1
万人,ばんじん,"all people, everybody, 10000 people",N1
万能,ばんのう,"all-purpose, almighty, omnipotent",N1
番目,ばんめ,cardinal number suffix,N1
非,ひ,"faulty-, non-",N1
費,ひ,"cost, expense",N1
延いては,ひいては,"not only...but also, in addition to, consequently",N1
控室,ひかえしつ,waiting room,N1
控える,ひかえる,"to draw in, to hold back, to make notes, to be temperate in",N1
悲観,ひかん,"pessimism, disappointment",N1
匹,ひき,"head, small animal counter, roll of cloth",N1
引き上げる,ひきあげる,"to withdraw, to leave, to pull out, to retire",N1
率いる,ひきいる,"to lead, to spearhead (a group), to command (troops)",N1
引き受ける,ひきうける,"to undertake, to take up, to take over, to be responsible for, to guarantee, to contract (disease)",N1
引き起こす,ひきおこす,to cause,N1
引き下げる,ひきさげる,"to pull down, to lower, to reduce, to withdraw",N1
引きずる,ひきずる,"to seduce, to drag along, to pull, to prolong, to support",N1
引き取る,ひきとる,"to take charge of, to take over, to retire to a private place",N1
引き分け,ひきわけ,"a draw (in competition), tie game",N1
否決,ひけつ,"rejection, negation, voting down",N1
非行,ひこう,"delinquency, misconduct",N1
日頃,ひごろ,"normally, habitually",N1
久しい,ひさしい,"long, long-continued, old (story)",N1
久し振り,ひさしぶり,after a long time,N1
悲惨,ひさん,misery,N1
秘書,ひしょ,(private) secretary,N1
比重,ひじゅう,specific gravity,N1
密か,ひそか,"secret, private, surreptitious",N1
浸す,ひたす,"to soak, to dip, to drench",N1
一向,ひたすら,earnestly,N1
左利き,ひだりきき,"left-handedness, sake drinker, left-hander",N1
引っ掻く,ひっかく,to scratch,N1
引っ掛ける,ひっかける,"1. to hang (something) on (something), to throw on (clothes), 2. to hook, to catch, to trap, to ensnar",N1
必修,ひっしゅう,required (subject),N1
匹敵,ひってき,"comparing with, match, rival, equal",N1
未,ひつじ,eighth sign of Chinese zodiac (The Ram 1pm-3pm south-southwest June),N1
必然,ひつぜん,"inevitable, necessary",N1
一息,ひといき,"puffy, a breath, a pause, an effort",N1
単,ひとえ,"one layer, single",N1
人柄,ひとがら,"personality, character, personal appearance, gentility",N1
一頃,ひところ,"once, some time ago",N1
人質,ひとじち,"hostage, prisoner",N1
一筋,ひとすき,"a line, earnestly, blindly, straightforwardly",N1
一まず,ひとまず,"for the present, once, in outline",N1
一人でに,ひとりでに,"by itself, automatically, naturally",N1
酷い,ひどい,"cruel, awful, severe, very bad, serious, terrible, heavy, violent",N1
日取り,ひどり,"fixed date, appointed day",N1
雛,ひな,"young bird, chick, doll",N1
日向,ひなた,"sunny place, in the sun",N1
非難,ひなん,"blame, attack, criticism",N1
避難,ひなん,"taking refuge, finding shelter",N1
日の丸,ひのまる,the Japanese flag,N1
火花,ひばな,spark,N1
日々,ひび,"every day, daily, day after day",N1
悲鳴,ひめい,"shriek, scream",N1
百科事典,ひゃっかじてん,encyclopedia,N1
百科辞典,ひゃっかじてん,encyclopedia,N1
冷やかす,ひやかす,"to banter, to make fun of, to jeer at, to cool, to refrigerate",N1
日焼け,ひやけ,sunburn,N1
票,ひょう,"label, ballot, ticket, sign",N1
標語,ひょうご,"motto, slogan, catchword",N1
,ひょっと,"possibly, accidentally",N1
平たい,ひらたい,"flat, even, level, simple, plain",N1
比率,ひりつ,"ratio, proportion, percentage",N1
肥料,ひりょう,"manure, fertilizer",N1
比例,ひれい,proportion,N1
疲労,ひろう,"fatigue, weariness",N1
広まる,ひろまる,"to spread, to be propagated",N1
貧困,ひんこん,"poverty, lack",N1
品質,ひんしつ,quality,N1
品種,ひんしゅ,"brand, kind, description",N1
貧弱,ひんじゃく,"poor, meagre, insubstantial",N1
頻繁,ひんぱん,frequency,N1
美,び,beauty,N1
微笑,びしょう,smile,N1
美術,びじゅつ,"art, fine arts",N1
吃驚,びっくり,"be surprised, be amazed, be frightened, astonishment",N1
,びっしょり,"wet through, drenched",N1
描写,びょうしゃ,"depiction, description, portrayal",N1
,びり,"last on the list, at the bottom",N1
微量,びりょう,"minuscule amount, extremely small quantity",N1
敏感,びんかん,"sensibility, susceptibility, sensitive (to), well attuned to",N1
貧乏,びんぼう,"poverty, destitute, poor",N1
歩,ふ,pawn (in chess or shogi),N1
不意,ふい,"sudden, abrupt, unexpected, unforeseen",N1
封,ふう,seal,N1
封鎖,ふうさ,"blockade, freezing (funds)",N1
風習,ふうしゅう,custom,N1
風俗,ふうぞく,"1. manners, customs, 2. sex service, sex industry",N1
風土,ふうど,"natural features, topography, climate, spiritual features",N1
不可欠,ふかけつ,"indispensable, essential",N1
深める,ふかめる,"to deepen, to heighten, to intensify",N1
不吉,ふきつ,"ominous, sinister, bad luck, ill omen, inauspiciousness",N1
不況,ふきょう,"recession, depression, slump",N1
布巾,ふきん,"tea-towel, dish cloth",N1
福,ふく,good fortune,N1
復旧,ふくきゅう,"restoration, restitution, rehabilitation",N1
複合,ふくごう,"composite, complex",N1
福祉,ふくし,"welfare, well-being",N1
覆面,ふくめん,"mask, veil, disguise",N1
膨れる,ふくれる,"to get cross, to get sulky, to swell (out), to expand, to be inflated, to distend, to bulge",N1
不景気,ふけいき,"business recession, hard times, depression, gloom, sullenness, cheerlessness",N1
老ける,ふける,to age,N1
布告,ふこく,"edict, ordinance, proclamation",N1
富豪,ふごう,"wealthy person, millionaire",N1
負債,ふさい,"debt, liabilities",N1
相応しい,ふさわしい,appropriate,N1
不在,ふざい,absence,N1
不山戯る,ふざける,"to romp, to gambol, to frolic, to joke, to make fun of, to flirt",N1
負傷,ふしょう,"injury, wound",N1
不審,ふしん,"incomplete understanding, doubt, question, distrust, suspicion, strangeness, infidelity",N1
不振,ふしん,"dullness, depression, slump, stagnation",N1
不順,ふじゅん,"irregularity, unseasonableness",N1
付属,ふぞく,"attached, belonging, affiliated, annexed, associated, subordinate, incidental, dependent, auxiliary",N1
負担,ふたん,"burden, charge, responsibility",N1
不調,ふちょう,"bad condition, not to work out (ie a deal), disagreement, break-off, disorder, slump, out of form",N1
復活,ふっかつ,"revival (e.g. musical), restoration",N1
復興,ふっこう,"revival, renaissance, reconstruction",N1
沸騰,ふっとう,"boiling, seething",N1
仏,ふつ,French,N1
不図,ふと,"suddenly, casually, accidentally, incidentally, unexpectedly, unintentionally",N1
不当,ふとう,"injustice, impropriety, unreasonableness, undeservedness, unfair, invalid",N1
不動産,ふどうさん,real estate,N1
赴任,ふにん,(proceeding to) new appointment,N1
腐敗,ふはい,"decay, depravity",N1
不評,ふひょう,"bad reputation, disgrace, unpopularity",N1
不便,ふびん,"pity, compassion",N1
不服,ふふく,"dissatisfaction, discontent, disapproval, objection, complaint, protest, disagreement",N1
普遍,ふへん,"universality, ubiquity, omnipresence",N1
踏まえる,ふまえる,"to be based on, to have origin in",N1
文,ふみ,"letter, writings",N1
不明,ふめい,"unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified",N1
扶養,ふよう,"support, maintenance",N1
振り,ふり,"pretence, show, appearance",N1
振り出し,ふりだし,"outset, starting point, drawing or issuing (draft)",N1
不良,ふりょう,"badness, delinquent, inferiority, failure",N1
浮力,ふりょく,"buoyancy, floating power",N1
震わせる,ふるわせる,"to be shaking, to be trembling",N1
付録,ふろく,"appendix, supplement",N1
分,ふん,minute,N1
憤慨,ふんがい,"indignation, resentment",N1
紛失,ふんしつ,losing something,N1
噴出,ふんしゅつ,"spewing, gushing, spouting, eruption, effusion",N1
紛争,ふんそう,"dispute, trouble, strife",N1
,ふんだん,"plentiful, abundant, lavish",N1
奮闘,ふんとう,"hard struggle, strenuous effort",N1
粉末,ふんまつ,fine powder,N1
部,ぶ,"department, part, category, counter for copies of a newspaper or magazine",N1
部下,ぶか,subordinate person,N1
,ぶかぶか,"too big, baggy",N1
侮辱,ぶじょく,"insult, contempt, slight",N1
武装,ぶそう,"arms, armament, armed",N1
斑,ぶち,"spots, speckles, mottles",N1
物資,ぶっし,"goods, materials",N1
物体,ぶったい,"body, object",N1
物議,ぶつぎ,public discussion (criticism),N1
打付ける,ぶつける,"to knock, to run into, to nail on, to strike hard, to hit and attack",N1
仏像,ぶつぞう,Buddhist image (statue),N1
無難,ぶなん,"safety, security",N1
部門,ぶもん,"class, group, category, department, field, branch",N1
ぶら下げる,ぶらさげる,"to hang, to suspend, to dangle, to swing",N1
,ぶらぶら,"dangle heavily, swing, sway to and fro, aimlessly, idly, lazily, loiter, loaf, be idle, stroll idly",N1
武力,ぶりょく,"armed might, military power, the sword, force",N1
無礼,ぶれい,"impolite, rude",N1
文化財,ぶんかざい,"cultural assets, cultural property",N1
分業,ぶんぎょう,"division of labor, specialization, assembly-line production",N1
文語,ぶんご,"written language, literary language",N1
分散,ぶんさん,"dispersion, decentralization, variance (statistics)",N1
分子,ぶんし,"numerator, molecule",N1
文書,ぶんしょ,"document, writing, letter, note, records, archives",N1
分担,ぶんたん,"apportionment, sharing",N1
分配,ぶんぱい,"division, sharing",N1
分母,ぶんぼ,denominator,N1
分離,ぶんり,"separation, detachment, segregation, isolation",N1
分裂,ぶんれつ,"split, division, break up",N1
兵器,へいき,"arms, weapons, ordinance",N1
閉口,へいこう,shut mouth,N1
平行,へいこう,"(going) side by side, concurrent, abreast, at the same time, occurring together, parallel, parallelism",N1
閉鎖,へいさ,"closing, closure, shutdown, lockout, unsociable",N1
兵士,へいし,soldier,N1
平常,へいじょう,"normal, usual",N1
平方,へいほう,"square (e.g. metre), square",N1
並列,へいれつ,"arrangement, parallel, abreast",N1
辟易,へきえき,"wince, shrink back, succumbing to, being frightened, disconcerted",N1
臍,へそ,"navel, belly-button",N1
隔たる,へだたる,to be distant,N1
謙る,へりくだる,to deprecate oneself and praise the listener,N1
経る,へる,"to pass, to elapse, to experience",N1
編,へん,"compilation, editing, completed poem, book, part of book",N1
偏,へん,"side, left radical of a character, inclining, inclining toward, biased",N1
変革,へんかく,"change, reform, revolution, upheaval, (the) Reformation",N1
返還,へんかん,"return, restoration",N1
偏見,へんけん,"prejudice, narrow view",N1
返済,へんさい,repayment,N1
変遷,へんせん,"change, transition, vicissitudes",N1
返答,へんとう,reply,N1
変動,へんどう,"change, fluctuation",N1
弁解,べんかい,"explanation, justification, defence, excuse",N1
便宜,べんぎ,"convenience, accommodation, advantage, expedience",N1
弁護,べんご,"defense, pleading, advocacy",N1
弁償,べんしょう,"next word, compensation, reparation, indemnity, reimbursement",N1
弁論,べんろん,"discussion, debate, argument",N1
,ぺこぺこ,"fawn, be very hungry",N1
穂,ほ,"ear (of plant), head (of plant)",N1
保育,ほいく,"nursing, nurturing, rearing, lactation, suckling",N1
倣,ほう,"imitate, follow, emulate",N1
法案,ほうあん,bill (law),N1
崩壊,ほうかい,"collapse, decay (physics), crumbling, breaking down, caving in",N1
法学,ほうがく,"law, jurisprudence",N1
放棄,ほうき,"abandonment, renunciation, abdication (responsibility right)",N1
宝器,ほうき,"treasured article or vessel, outstanding individual",N1
封建,ほうけん,feudalistic,N1
豊作,ほうさく,"abundant harvest, bumper crop",N1
方策,ほうさく,"plan, policy",N1
奉仕,ほうし,"attendance, service",N1
方式,ほうしき,"form, method, system",N1
放射,ほうしゃ,"radiation, emission",N1
放射能,ほうしゃのう,radioactivity,N1
報酬,ほうしゅう,"remuneration, recompense, reward, toll",N1
放出,ほうしゅつ,"release, emit",N1
報じる,ほうじる,"to inform, to report",N1
報ずる,ほうずる,"to inform, to report",N1
放置,ほうち,"leave as is, leave to chance, leave alone, neglect",N1
法廷,ほうてい,courtroom,N1
報道,ほうどう,"information, report",N1
褒美,ほうび,"reward, prize",N1
葬る,ほうむる,"to bury, to inter, to entomb, to consign to oblivion, to shelve",N1
放り込む,ほうりこむ,to throw into,N1
放り出す,ほうりだす,"to throw out, to fire, to expel, to give up, to abandon, to neglect",N1
飽和,ほうわ,saturation,N1
保温,ほおん,"retaining warmth, keeping heat in, heat insulation",N1
捕獲,ほかく,"capture, seizure",N1
保管,ほかん,"charge, custody, safekeeping, deposit, storage",N1
補給,ほきゅう,"supply, supplying, replenishment",N1
補強,ほきょう,"compensation, reinforcement",N1
保険,ほけん,"insurance, guarantee",N1
捕鯨,ほげい,"whaling, whale fishing",N1
誇る,ほこる,"to boast of, to be proud of",N1
綻びる,ほころびる,"to come apart at the seams, to begin to open, to smile broadly",N1
保護,ほご,"care, protection, shelter, guardianship, favor, patronage",N1
乾,ほし,"dried, cured",N1
干し物,ほしもの,dried washing (clothes),N1
保守,ほしゅ,"conservative, maintaining",N1
保障,ほしょう,"guarantee, security, assurance, pledge, warranty",N1
補償,ほしょう,"compensation, reparation",N1
補充,ほじゅう,"supplementation, supplement, replenishment, replenishing",N1
補助,ほじょ,"assistance, support, aid, auxiliary",N1
舗装,ほそう,"pavement, road surface",N1
補足,ほそく,"supplement, complement",N1
発作,ほっさ,"fit, spasm",N1
,ほっと,feel relieved,N1
頬っぺた,ほっぺた,cheek,N1
辺り,ほとり,"(in the) neighbourhood, vicinity, nearby",N1
殆ど,ほとんど,"mostly, almost",N1
解く,ほどく,to unfasten,N1
施す,ほどこす,"to donate, to give, to conduct, to apply, to perform",N1
保母,ほぼ,day care worker in a kindergarten nursery school etc.,N1
保養,ほよう,"health preservation, recuperation, recreation",N1
捕吏,ほり,constable,N1
捕虜,ほりょ,prisoner (of war),N1
滅びる,ほろびる,"to be ruined, to go under, to perish, to be destroyed",N1
滅ぼす,ほろぼす,"to destroy, to overthrow, to wreck, to ruin",N1
本格,ほんかく,"propriety, fundamental rules",N1
本館,ほんかん,main building,N1
本気,ほんき,"seriousness, truth, sanctity",N1
本質,ほんしつ,"essence, true nature, reality",N1
本体,ほんたい,"substance, real form, object of worship",N1
本音,ほんね,"real intention, motive",N1
本の,ほんの,"mere, only, just",N1
本能,ほんのう,instinct,N1
本場,ほんば,"home, habitat, center, best place, genuine",N1
本文,ほんぶん,"text (of document), body (of letter)",N1
本名,ほんみょう,real name,N1
卯,ぼう,fourth sign of Chinese zodiac (The Hare 5am-7am east February),N1
防衛,ぼうえい,"defense, protection, self-defense",N1
防火,ぼうか,"fire prevention, fire fighting, fire proof",N1
妨害,ぼうがい,"disturbance, obstruction, hindrance, jamming, interference",N1
紡績,ぼうせき,spinning,N1
呆然,ぼうぜん,"dumbfounded, overcome with surprise, in blank amazement",N1
膨脹,ぼうちょう,"expansion, swelling, increase, growth",N1
冒頭,ぼうとう,"beginning, start, outset",N1
